ACLON,ACLAT,HER,STRATUM,CRUISE,Country
-10.28492,54.5173,0,6,45CE2018WESPAS_2,IRL
-10.14153,54.51529,0,6,45CE2018WESPAS_2,IRL
-9.998,54.51399,0,6,45CE2018WESPAS_2,IRL
-9.854481,54.51501,0,6,45CE2018WESPAS_2,IRL
-9.710879,54.5149,0,6,45CE2018WESPAS_2,IRL
7.839542,57.50699,14.5335,152,26D4201806,DK
7.839542,57.50699,14.5335,152,26D4201806,DK
-10.69509,54.26342,0,6,45CE2018WESPAS_2,IRL
-10.60965,54.26438,0,6,45CE2018WESPAS_2,IRL
-10.46715,54.26424,0,6,45CE2018WESPAS_2,IRL
-10.32436,54.26442,0,6,45CE2018WESPAS_2,IRL
6.032089,54.65055,17.73937,71,06SL750,GER
6.032089,54.65055,17.73937,71,06SL750,GER
6.146947,54.65094,147.9479,71,06SL750,GER
6.146947,54.65094,147.9479,71,06SL750,GER
7.439492,54.64817,0,71,06SL750,GER
7.439492,54.64817,0,71,06SL750,GER
7.577599,54.65091,0,71,06SL750,GER
7.577599,54.65091,0,71,06SL750,GER
7.721153,54.65091,0,71,06SL750,GER
7.721153,54.65091,0,71,06SL750,GER
6.290338,54.651,23.602277,71,06SL750,GER
6.290338,54.651,23.602277,71,06SL750,GER
6.433849,54.65089,6.31485,71,06SL750,GER
6.433849,54.65089,6.31485,71,06SL750,GER
6.577343,54.65079,0.17892,71,06SL750,GER
6.577343,54.65079,0.17892,71,06SL750,GER
6.720741,54.65082,46.47436,71,06SL750,GER
6.720741,54.65082,46.47436,71,06SL750,GER
6.86417,54.65091,14.99924,71,06SL750,GER
6.86417,54.65091,14.99924,71,06SL750,GER
7.007551,54.65093,0,71,06SL750,GER
7.007551,54.65093,0,71,06SL750,GER
7.148901,54.65098,22.19731,71,06SL750,GER
7.148901,54.65098,22.19731,71,06SL750,GER
7.292335,54.6507,0.087874,71,06SL750,GER
7.292335,54.6507,0.087874,71,06SL750,GER
-10.51055,54.00922,0,6,45CE2018WESPAS_2,IRL
-10.62021,54.01174,0,6,45CE2018WESPAS_2,IRL
-10.76191,54.01206,0,6,45CE2018WESPAS_2,IRL
-10.83629,54.01114,0,6,45CE2018WESPAS_2,IRL
-10.92127,54.01273,0,6,45CE2018WESPAS_2,IRL
6.048375,54.94205,0,71,06SL750,GER
6.048375,54.94205,0,71,06SL750,GER
6.188211,54.9395,0,71,06SL750,GER
6.188211,54.9395,0,71,06SL750,GER
6.33238,54.94197,0,71,06SL750,GER
6.33238,54.94197,0,71,06SL750,GER
6.563526,54.94191,0.035551,71,06SL750,GER
6.563526,54.94191,0.035551,71,06SL750,GER
6.621243,54.94164,0,71,06SL750,GER
6.621243,54.94164,0,71,06SL750,GER
7.878589,54.94035,0,71,06SL750,GER
7.878589,54.94035,0,71,06SL750,GER
7.849628,54.94142,0.17797,71,06SL750,GER
7.849628,54.94142,0.17797,71,06SL750,GER
7.705311,54.94197,13.80837,71,06SL750,GER
7.705311,54.94197,13.80837,71,06SL750,GER
7.561531,54.94207,0.278196,71,06SL750,GER
7.561531,54.94207,0.278196,71,06SL750,GER
7.417067,54.94176,3.59421,71,06SL750,GER
7.417067,54.94176,3.59421,71,06SL750,GER
7.272512,54.9422,0.032946,71,06SL750,GER
7.272512,54.9422,0.032946,71,06SL750,GER
7.128101,54.94224,0.564236,71,06SL750,GER
7.128101,54.94224,0.564236,71,06SL750,GER
