"strata","length","age","maturity","stock","number","biomass_g","meanW_g"
121,28.5,6,"MAT","her-47d3",14491892.7906,3188216413.932,220
151,28.5,6,"MAT","her-47d3",109278.15,22074186.3,202
152,28.5,6,"MAT","her-47d3",251017.8114,50705597.9028,202
91,29,6,"MAT","her-47d3",12758209.4646,2980581693.885,233.620689655172
111,29,6,"MAT","her-47d3",189823813.7367,45394440268.2093,239.13986013986
121,29,6,"MAT","her-47d3",21803501.1438,5065996091.8464,232.347826086957
41,29.5,6,"MAT","her-47d3",635941.902,123372728.988,194
91,29.5,6,"MAT","her-47d3",13189385.6448,3257366085.9642,246.96875
111,29.5,6,"MAT","her-47d3",154834539.392,38980930072.448,251.758620689655
121,29.5,6,"MAT","her-47d3",25322850.084,6316694514.7035,249.446428571429
91,30,6,"MAT","her-47d3",4538850.5932,1163242566.3144,256.285714285714
111,30,6,"MAT","her-47d3",160817127.1938,43008445991.115,267.436974789916
121,30,6,"MAT","her-47d3",23820750.6888,6162244966.6488,258.692307692308
91,30.5,6,"MAT","her-47d3",2926095.2553,757440657.5148,258.857142857143
111,30.5,6,"MAT","her-47d3",90628728.2807,24659949319.0823,272.098591549296
121,30.5,6,"MAT","her-47d3",17195859.486,4697996995.47,273.205128205128
91,31,6,"MAT","her-47d3",1381026.5808,358376397.7176,259.5
111,31,6,"MAT","her-47d3",57923846.7435,16065500693.4583,277.355555555556
121,31,6,"MAT","her-47d3",11281295.8359,3062245080.7893,271.444444444444
111,31.5,6,"MAT","her-47d3",16471271.2788,4841181150.0273,293.916666666667
121,31.5,6,"MAT","her-47d3",3068739.4234,896510302.979,292.142857142857
111,32,6,"MAT","her-47d3",8615433.7728,2670784469.568,310
121,32,6,"MAT","her-47d3",449473.4557,130347302.153,290
111,32.5,6,"MAT","her-47d3",6094732.1828,1900032757.9879,311.75
121,32.5,6,"MAT","her-47d3",1275142.6422,368941271.1432,289.333333333333
111,33,6,"MAT","her-47d3",6961628.6312,2393059841.975,343.75
121,33,6,"MAT","her-47d3",333503.6869,118060305.1626,354
111,33.5,6,"MAT","her-47d3",4312516.5177,1388630318.6994,322
121,33.5,6,"MAT","her-47d3",1003505.4988,339184858.5944,338
81,26,7,"MAT","her-47d3",1888.7884,268207.9528,142
91,26,7,"MAT","her-47d3",576169.6979,81816097.1018,142
111,26,7,"MAT","her-47d3",4589917.4165,780285960.805,170
91,26.5,7,"MAT","her-47d3",14842848.0148,2449069922.442,165
121,26.5,7,"MAT","her-47d3",3385818.8007,575589196.119,170
91,27,7,"MAT","her-47d3",2781721.581,486801276.675,175
111,27,7,"MAT","her-47d3",24715797.7875,4099856536.9905,165.88
91,27.5,7,"MAT","her-47d3",6916530.7848,1362556564.6056,197
111,27.5,7,"MAT","her-47d3",15511171.074,3118779463.9456,201.066666666667
91,28,7,"MAT","her-47d3",9254525.13,1767100159.545,190.944444444444
111,28,7,"MAT","her-47d3",16542466.1836,3564901462.5658,215.5
121,28,7,"MAT","her-47d3",5802553.4688,1085561044.788,187.083333333333
91,28.5,7,"MAT","her-47d3",6695659.851,1425282793.6162,212.866666666667
111,28.5,7,"MAT","her-47d3",29862342.7095,6612561366.0645,221.434782608696
121,28.5,7,"MAT","her-47d3",1402441.2378,284695571.2734,203
91,29,7,"MAT","her-47d3",3079567.8018,704341150.0974,228.714285714286
111,29,7,"MAT","her-47d3",23893906.6242,5551350972.3558,232.333333333333
121,29,7,"MAT","her-47d3",7583826.4848,1778407310.6856,234.5
91,29.5,7,"MAT","her-47d3",3297346.4112,789302297.181,239.375
111,29.5,7,"MAT","her-47d3",24026049.216,6026534011.68,250.833333333333
121,29.5,7,"MAT","her-47d3",2713162.509,579260195.6715,213.5
91,30,7,"MAT","her-47d3",1296814.4552,335226536.6692,258.5
111,30,7,"MAT","her-47d3",48650559.4872,12749149394.5068,262.055555555556
121,30,7,"MAT","her-47d3",3206639.5158,852966111.2028,266
41,30.5,7,"MAT","her-47d3",456810.5607,116791233.3523,255.666666666667
111,30.5,7,"MAT","her-47d3",35740906.9276,10343163172.6551,289.392857142857
121,30.5,7,"MAT","her-47d3",8818389.48,2358478266.426,267.45
111,31,7,"MAT","her-47d3",41190291.0176,11741807333.2046,285.0625
121,31,7,"MAT","her-47d3",5013909.2604,1417265017.6064,282.666666666667
91,31.5,7,"MAT","her-47d3",705263.7374,185484362.9362,263
111,31.5,7,"MAT","her-47d3",12353453.4591,3636033134.7951,294.333333333333
121,31.5,7,"MAT","her-47d3",2191956.731,635667451.99,290
111,32,7,"MAT","her-47d3",10051339.4016,3173351439.648,315.714285714286
121,32,7,"MAT","her-47d3",898946.9114,263840918.4959,293.5
111,32.5,7,"MAT","her-47d3",1523683.0457,476912793.3041,313
111,33,7,"MAT","her-47d3",1740407.1578,532564590.2868,306
