strata,length,age,maturity,stock,number,biomass_g,meanW_g
41,22,4,IMM,her-3a22,320340.2664,22423818.65,70
41,23,4,IMM,her-3a22,651298.5576,56011675.95,86
41,25.5,4,IMM,her-47d3,444888.5784,59170180.93,133
41,26,4,IMM,her-3a22,156197.734,19524716.75,125
41,28.5,5,IMM,her-3a22,128066.378,26125541.11,204
41,24.5,6,IMM,her-3a22,200259.9057,24031188.68,120
41,27,6,IMM,her-3a22,157622.7886,21121453.67,134
41,28,8,IMM,her-3a22,144374.5902,25265553.29,175
41,24,2,MAT,her-47d3,1397770.798,170528037.3,122
41,25,2,MAT,her-3a22,1292498.923,199229476.9,154.1428571
41,25.5,2,MAT,her-47d3,296592.3856,37370640.59,126
41,26,2,MAT,her-47d3,156197.734,26085021.58,167
41,27,2,MAT,her-47d3,157622.7886,20490962.52,130
41,31.5,2,MAT,her-47d3,336437.9946,55848707.1,166
41,26,3,MAT,her-47d3,312395.468,50920461.28,163
41,23.5,4,MAT,her-3a22,312519.3416,35627204.94,114
41,24.5,4,MAT,her-3a22,1401819.34,150395189.2,107.2857143
41,25.5,4,MAT,her-47d3,148296.1928,21947836.53,148
41,27,5,MAT,her-3a22,157622.7886,26165382.91,166
41,28,5,MAT,her-3a22,144374.5902,32917406.57,228
41,29,5,MAT,her-3a22,418758.7182,88497675.78,211.3333333
41,30,5,MAT,her-47d3,330450.2808,72038161.21,218
41,27.5,6,MAT,her-3a22,174481.5649,34896312.98,200
41,29,6,MAT,her-3a22,558344.9576,118369131,212
41,31.5,6,MAT,her-3a22,168218.9973,23214221.63,138
41,29,7,MAT,her-3a22,139586.2394,24427591.9,175
41,29.5,8,MAT,her-3a22,158985.4755,36248688.41,228
41,32.5,8,MAT,her-3a22,152270.1869,42331111.96,278
41,25,2,-,her-3a22,553928.1099,83089216.49,150
41,15,1,IMM,her-3a22,3702.6108,77754.8268,21
41,15.5,1,IMM,her-3a22,52425.5088,1415488.738,27
41,16.5,1,IMM,her-3a22,892677.6162,33425817.41,37.44444444
41,17,1,IMM,her-3a22,111555.7595,4127563.102,37
41,17.5,1,IMM,her-3a22,511948.88,19966006.32,39
